bus_id,x,y,typ,voltage,frequency,name,operator,ref,source,n_gen,capacity,net_capacity,wkt_srid_4326,region,injection_mw
133851,11.3269828608243,49.3934752979724,merge,220000;110000,50,Umspannwerk Ludersheim,TenneT TSO GmbH;E.ON Netz GmbH,LU,,,,,SRID=4326;POINT(11.3269828608243 49.3934752979724),50Hertz,-14.8083860908652
134320,9.70424505670117,48.464942166562,merge,380000;110000,50,EnBW Umspannwerk Laichingen,EnBW,,,,,,SRID=4326;POINT(9.70424505670117 48.464942166562),TransnetBW,-8.934159260596138
134340,9.15118600564182,49.1433394745617,merge,380000;220000;110000,,EnBW-Umspannwerk Großgartach,,,,,,,SRID=4326;POINT(9.15118600564182 49.1433394745617),TransnetBW,-5.011617083946241
134361,7.04774792555294,50.9044555806658,merge,110000;15000;110000;220000;110000;110000,50;16.7;50;50;50,Umformerwerk Köln;Station Gremberghoven;Station Gremberghoven;Umspannwerk Gremberghoven,DB_Energie,,,,,,SRID=4326;POINT(7.04774792555294 50.9044555806658),Amprion,-11.670780996027844
134481,11.3387344042006,47.6295604918059,merge,110000;110000,50;16.7;16.7;16.7,Walchenseekraftwerk,E.ON Wasserkraft GmbH,,,,,,SRID=4326;POINT(11.3387344042006 47.6295604918059),50Hertz,40.38255979389354
134530,11.2777395925792,47.495820585708,merge,220000;110000,50,Umspannwerk Krün,E.ON Netz GmbH,,,,,,SRID=4326;POINT(11.2777395925792 47.495820585708),50Hertz,42.51237644538607
134540,7.75270709244963,48.0978638783805,merge,220000;110000;380000;220000;110000,50;50,220-kV-Umspannwerk Eichstetten;380-kV-Umspannwerk Eichstetten,EnBW,,,,,,SRID=4326;POINT(7.75270709244963 48.0978638783805),TransnetBW,50.58508531190108
134680,6.62071471420099,49.7484795105145,merge,110000;220000,50;50,Station Trier,Amprion,,,,,,SRID=4326;POINT(6.62071471420099 49.7484795105145),Amprion,-1.7945090901704734
134765,8.03923340987373,47.5592429674638,merge,,,,,,,,,,SRID=4326;POINT(8.03923340987373 47.5592429674638),TransnetBW,50.98483726813515
141269,6.9613060794248,51.068980125616,joint,380000;110000;380000;110000,50;50;50;50,380 kV Opladen Nord|Süd;110 kV Hülsberg Nord|Süd;380 kV Opladen Nord|Süd;110 kV Hülsberg Nord|Süd,RWE,4515,,,,,SRID=4326;POINT(6.9613060794248 51.068980125616),Amprion,-12.559327706586927
141612,11.6252229998292,48.7369986262738,joint,380000;220000,,Irsching - Ottenhofen;Zolling - Irsching,TenneT TSO GmbH,421;262,,,,,SRID=4326;POINT(11.6252229998292 48.7369986262738),50Hertz,-20.61068290401235
141988,9.97927885669415,48.3081158234726,joint,220000,,Iller Ltg.,RWE,4521,,,,,SRID=4326;POINT(9.97927885669415 48.3081158234726),TransnetBW,-10.574944419111086
142296,10.1640010988692,49.9890663536779,joint,380000;220000;220000;380000;110000,50,Bergrheinfeld - Grafenrheinfeld;Schweinfurt - Zeuzleben,,487,,,,,SRID=4326;POINT(10.1640010988692 49.9890663536779),TenneT,-3.8858828456154093
142794,7.01999072821642,51.6285363949302,joint,220000;220000;220000,,220kV Schermbeck Nord;220kV Scholven D+E;220kV Scholven D+E,Amprion,4569,,,,,SRID=4326;POINT(7.01999072821642 51.6285363949302),Amprion,-20.300611515872237
143330,9.38634993192534,48.7479400350264,joint,220000;220000;110000,,2x 220 kV;Anlage 302 ; Hohck-Wdlng;AL1-EDS/AIC 2x 110 kV,EVS,,,,,,SRID=4326;POINT(9.38634993192534 48.7479400350264),TransnetBW,-6.799452237158615
143745,9.84412944371985,49.7176754427313,joint,220000,,Raitersaich - Trennfeld,TenneT TSO GmbH,211,,,,,SRID=4326;POINT(9.84412944371985 49.7176754427313),TenneT,-6.26317192111623
143772,9.08281172124154,50.0887973089462,joint,380000,,Aschaffenburg - Großkrotzenburg;Großkrotzenburg - Grafenrheinfeld,TenneT TSO GmbH,412;417,,,,,SRID=4326;POINT(9.08281172124154 50.0887973089462),TenneT,-5.504970404060849
200,8.40394268185539,49.089234984154,substation,,,,,,,,,,SRID=4326;POINT(8.40394268185539 49.089234984154),TransnetBW,-1.9159042034109888
2735,8.52295499412515,53.2085344541421,sub_station,,,,,1240,,,,,SRID=4326;POINT(8.52295499412515 53.2085344541421),Amprion,4.07400959414648
6832,6.78870748163415,49.3376956582363,substation,,,,,,,,,,SRID=4326;POINT(6.78870748163415 49.3376956582363),Amprion,-0.43035389530354884
6875,11.7753029649971,48.2070603513884,sub_station,,,,Isar-Amperwerke,1448,,,,,SRID=4326;POINT(11.7753029649971 48.2070603513884),50Hertz,-17.19456385273009
6901,6.63359223742174,51.2307140908495,sub_station,,,,,Neusser Straße 89,,,,,SRID=4326;POINT(6.63359223742174 51.2307140908495),Amprion,-11.189069359901463
9935,8.70215991015415,51.7572512644348,substation,,,,,16122 Waldbad,,,,,SRID=4326;POINT(8.70215991015415 51.7572512644348),Amprion,-15.500818851034348
14084,7.73464596239445,54.519907485727,substation,,,,,,,,,,SRID=4326;POINT(7.73464596239445 54.519907485727),TenneT,53.87020113884007
14172,6.6292412473431,51.2370301654116,substation,,,,,,,,,,SRID=4326;POINT(6.6292412473431 51.2370301654116),Amprion,-11.24577715721647
14765,7.87986545526853,48.4660378929196,substation,20000,,,Gemeindewerke Schutterwald,Station Schutterstraße,,,,,SRID=4326;POINT(7.87986545526853 48.4660378929196),TransnetBW,0.9147579275762787
16276,8.47130678475266,50.0972089288331,substation,380000;110000,50,Umspannwerk Kriftel,Amprion,,,,,,SRID=4326;POINT(8.47130678475266 50.0972089288331),Amprion,-8.049323663787534
16337,10.7027361982684,47.8264651225073,substation,380000;110000,50,Umspannwerk Bidingen Nr. 697 S,LEW,,,,,,SRID=4326;POINT(10.7027361982684 47.8264651225073),TenneT,39.44347809951919
16768,9.90880362383627,53.4880478817913,substation,380000;110000,50,Umspannwerk Hamburg/Süd,50Hertz Transmission;Stromnetz Hamburg GmbH,,,,,,SRID=4326;POINT(9.90880362383627 53.4880478817913),50Hertz,10.509908012296714
16782,6.84265873953413,50.8635394681059,substation,380000;110000,,Station Knapsack,Amprion,,,,,,SRID=4326;POINT(6.84265873953413 50.8635394681059),Amprion,-8.449217112399097
16824,9.09724030613754,48.8277635374798,substation,220000;110000,,Umspannwerk Weilimdorf,,,,,,,SRID=4326;POINT(9.09724030613754 48.8277635374798),TransnetBW,-4.753436909964748
16840,8.43536479344461,50.0590049251188,substation,110000,,Umspannwerk Marxheim,Süwag,,,,,,SRID=4326;POINT(8.43536479344461 50.0590049251188),Amprion,-7.797357171300822
16849,10.1083806791709,52.3223017612256,substation,,50,Sehnde-Peine,EON_Netz,,,,,,SRID=4326;POINT(10.1083806791709 52.3223017612256),TenneT,0.9079251482724171
16850,9.89089124888824,52.3655014367367,substation,110000,50,Umspannwerk Anderten,Stadtwerke_Hannover_AG,,,,,,SRID=4326;POINT(9.89089124888824 52.3655014367367),TenneT,-1.1681616502742749
16874,8.57123178873015,52.1053816593505,substation,380000;110000,50,Eickum,TenneT,,,,,,SRID=4326;POINT(8.57123178873015 52.1053816593505),Amprion,-14.30466719131623
16911,13.5061055824657,52.4737881367889,substation,220000;110000,50,Umspannwerk Wuhlheide,50Hertz;Vattenfall Europe AG,,,,,,SRID=4326;POINT(13.5061055824657 52.4737881367889),50Hertz,7.956464104114895
16914,6.70793587751872,51.3613273820765,substation,,50,,,,,,,,SRID=4326;POINT(6.70793587751872 51.3613273820765),Amprion,-13.71519637755209
16940,8.93969252741257,52.4030332405173,substation,380000,50,Schaltanlage Ovenstädt,TenneT TSO GmbH,3018,,,,,SRID=4326;POINT(8.93969252741257 52.4030332405173),TenneT,-7.2887901578658845
16942,12.8133593629663,50.8578738927588,substation,380000;220000;110000,50,Umspannwerk Röhrsdorf,50Hertz,ROE,,,,,SRID=4326;POINT(12.8133593629663 50.8578738927588),50Hertz,3.9982383507965746
16943,6.84704114481397,51.2054462202835,substation,220000;110000,50,Station Eller,RWE;Stadtwerke Düsseldorf,,,,,,SRID=4326;POINT(6.84704114481397 51.2054462202835),Amprion,-12.977597881546359
16961,8.77239711773549,49.9746382876172,substation,380000;220000;110000,,Umspannwerk Urberach,RWE,,,,,,SRID=4326;POINT(8.77239711773549 49.9746382876172),Amprion,-5.923519805205867
16963,10.8430899849666,49.3785786326225,substation,380000;220000;110000,50,Umspannwerk Raitersaich,TenneT TSO GmbH;E.ON Netz GmbH,RAI,,,,,SRID=4326;POINT(10.8430899849666 49.3785786326225),TenneT,-13.293462734747179
16999,8.59070820517917,49.970800538242,substation,,,,,,,,,,SRID=4326;POINT(8.59070820517917 49.970800538242),Amprion,-6.455201751465728
17024,7.14063446483707,51.5572476011295,substation,110000,,Station Wanne,RWE,,,,,,SRID=4326;POINT(7.14063446483707 51.5572476011295),Amprion,-21.123754649408646
17043,11.2939430809764,48.0520072369313,substation,220000;110000,,Umspannwerk Oberbrunn,"TenneT TSO GmbH, E.ON Netz GmbH",OBR,,,,,SRID=4326;POINT(11.2939430809764 48.0520072369313),50Hertz,33.9243477959338
17081,7.44507423414899,51.6185050689451,substation,220000;110000,,Station Elmenhorst,Amprion,,,,,,SRID=4326;POINT(7.44507423414899 51.6185050689451),Amprion,-24.397654866739217
17108,8.56364795594604,53.0316389635553,substation,380000;110000,50,Ganderkesee,TenneT;EON_Netz;EWE,GANK,,,,,SRID=4326;POINT(8.56364795594604 53.0316389635553),Amprion,-0.080499261776934
17113,10.9036229949309,49.9172942892849,substation,110000,,Umspannwerk Bamberg-Nord,Stadtwerke Bamberg;EON Netz,,,,,,SRID=4326;POINT(10.9036229949309 49.9172942892849),TenneT,-6.383689725596385
17164,10.836054138576,49.928062483854,substation,380000,,Umspannwerk Oberhaid,TenneT TSO GmbH,OD,,,,,SRID=4326;POINT(10.836054138576 49.928062483854),TenneT,-6.094361420938247
17186,7.50007032580989,51.5351685513289,substation,220000,50,Ratsbusch,,,,,,,SRID=4326;POINT(7.50007032580989 51.5351685513289),Amprion,-24.495260887026813
