line_id,bus0,bus1,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326,type,parallel_circuits,voltage_kv,length_km,x_ohm,capacity_mw,susceptance,flow_mw,abs_flow_mw,utilization_pct,severity,bottleneck_score
112266,113622,18108,380000,6,3,50,512;514,50Hertz Transmission,512;514,41943.0188947094,,,,,'',"SRID=4326;LINESTRING(12.6079269676717 53.5909649547802,12.1870420174299 53.8158258984951)",line,1,380.0,41.9430188947094,13.421766046307008,1645.4482671904334,10758.643795592874,-15.544752884947028,15.544752884947028,0.9447123434326715,normal,3.551999467235949
168023,17389,17632,380000,6,4,50,Etzenricht - Hradec;Etzenricht - Přeštice,TenneT TSO GmbH,441;442,3933.1761105736,,,,,'',"SRID=4326;LINESTRING(12.1147630824386 49.6312498474851,12.1677595374271 49.6467726675772)",line,1,380.0,3.9331761105736,1.258616355383552,1645.4482671904334,100000.0,36.573677189977175,36.573677189977175,2.2227181443039785,normal,3.54742042125787
116865,118491,118493,220000,3,,50,,,,163.009894177868,,,,,'',"SRID=4326;LINESTRING(8.06757696788051 49.5797572859285,8.06756564910793 49.5812345509583)",line,1,220.0,0.16300989417786801,0.16,495.3665309646989,100000.0,115.78354646701317,115.78354646701317,23.37330829386699,normal,3.529635563106547
101432,117483,112443,380000,6,4,50,,,,128.858908325026,,,,,'',"SRID=4326;LINESTRING(8.81154048594759 50.2045310431543,8.81095882680112 50.2056397942199)",line,1,380.0,0.128858908325026,0.16,1645.4482671904334,100000.0,478.89638054093297,478.89638054093297,29.104310970446853,normal,3.5276551511908147
146345,112810,112827,220000,12,2;1,,,RWE,2356,237.295804100872,,,,,'',"SRID=4326;LINESTRING(7.01942314352749 51.5587941675961,7.0192884860664 51.5566518508266)",line,1,220.0,0.237295804100872,0.16,495.3665309646989,100000.0,81.54442030072761,81.54442030072761,16.46143112291506,normal,3.5051028170807466
181691,117623,23608,220000;220000;220000;220000;220000,6;6;6;6;6,1;1;1,,,Amprion,2319,51756.3155348239,,,,,'',"SRID=4326;LINESTRING(7.6025920884929 51.3453577551505,7.93815712118359 51.0106958747989)",line,5,220.0,51.756315534823905,3.31240419422873,2476.832654823494,14611.74336282037,21.87209594732559,21.87209594732559,0.8830671666384443,normal,3.501964884154204
143397,117469,115971,220000;110000,9,2;1,50,220 kV Wengerohr; 110 kV Pünderich,Amprion,,208.125057231705,,,,,'',"SRID=4326;LINESTRING(6.90904633608397 49.9718392918385,6.90988913548353 49.9736417664838)",line,2,220.0,0.208125057231705,0.08,990.7330619293978,100000.0,182.8376264955023,182.8376264955023,18.454781971183657,normal,3.489238584075726
121600,112812,112811,220000;110000,6,1,,Gladbeck West+Hugo Ost,RWE,2392,408.906189501335,,,,,'',"SRID=4326;LINESTRING(7.02030007890785 51.5652522861848,7.01990473035131 51.5615741476086)",line,2,220.0,0.408906189501335,0.08,990.7330619293978,100000.0,100.83529559257175,100.83529559257175,10.177847037445241,normal,3.4891049043836255
123007,16943,113071,220000,6,2,50,220 kV Eller Ost+West,RWE,2417,2783.44993748619,,,,,'',"SRID=4326;LINESTRING(6.84704114481397 51.2054462202835,6.87976467141975 51.1891573436675)",line,1,220.0,2.7834499374861896,0.8907039799955807,495.3665309646989,54339.040901377964,-12.977597881543687,12.977597881543687,2.619797073546841,normal,3.4859970198952808
178086,17430,113904,220000;220000;220000,3;6;3,2;2;2,50;50;50,318;220 kV Lüdershagen - Bentwisch - Güstrow;317,50Hertz Transmission,318,64963.8320560661,,,,,'',"SRID=4326;LINESTRING(13.0786799718301 54.284850254914,12.2188089462783 54.1129809662942)",line,3,220.0,64.9638320560661,6.929475419313717,1486.0995928940965,6984.655702089704,12.336008194591919,12.336008194591919,0.8300929664187732,normal,3.4773479181534643
